Kingdom,Phylum,Class,Order,Family,Genus,N_Species,SAE3_00_1,SAE3_00_10,SAE3_00_11,SAE3_00_2,SAE3_00_3,SAE3_00_4,SAE3_00_5,SAE3_00_6,SAE3_00_7,SAE3_00_8,SAE3_00_9,SAE3_05_1,SAE3_05_10,SAE3_05_11,SAE3_05_2,SAE3_05_3,SAE3_05_4,SAE3_05_5,SAE3_05_6,SAE3_05_7,SAE3_05_8,SAE3_05_9,SAE3_23_1,SAE3_23_10,SAE3_23_11,SAE3_23_2,SAE3_23_3,SAE3_23_4,SAE3_23_5,SAE3_23_6,SAE3_23_7,SAE3_23_8,SAE3_23_9,SAE3_39_1,SAE3_37_10,SAE3_37_11,SAE3_37_2,SAE3_37_3,SAE3_37_4,SAE3_37_5,SAE3_37_6,SAE3_37_7,SAE3_37_8,SAE3_37_9,SAE3_68_1,SAE3_68_2,SAE3_68_3,SAE3_68_4,SAE3_68_5,sum
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,1,52,40,37,42,8,12,1,7,3,16,2,5924,5645,6790,6223,6391,7193,5122,5594,7082,6477,7103,2271,2424,2150,832,1473,1503,1655,1485,1457,1972,2226,324,340,242,210,268,377,275,291,337,377,279,387,955,775,457,324,93141
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,3,3,14,139,29,2,26,0,3,5,46,2,18570,18236,20722,19847,20098,21244,16580,18452,22635,21178,21971,462,607,528,199,320,328,402,354,312,435,523,496,642,497,425,541,692,605,661,683,718,604,83,103,110,120,76,231218
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,19,26,54,116,27,18,49,14,33,29,51,13,12964,12097,14056,13368,13762,14874,11320,12424,15572,15691,15243,181,180,211,76,143,123,154,131,118,162,246,2569,3318,2609,1992,2477,3614,2575,2859,3254,3587,2985,5489,6106,6991,6100,4950,211835
Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,19,14,11,9,62,2,0,0,12,4,7,1,193,187,229,224,227,292,140,226,291,270,239,4286,4799,4197,1630,2815,2910,3247,2989,2919,3913,4582,580,750,619,502,545,871,572,737,664,765,623,382,503,533,413,325,45927
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,4,6084,6996,6381,6922,6760,4451,6060,7107,7313,6025,5453,15,12,24,8,15,25,21,17,14,13,6,1,1,2,2,1,2,5,5,0,5,1,8,10,7,4,11,10,5,63,39,9,10,15,17,22,19,9,69997
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,2,41,40,93,54,29,42,42,37,42,43,45,5044,4866,5638,5528,5251,5858,4460,4918,5985,5749,6075,2,12,9,0,0,0,0,0,2,4,0,1,12,0,2,2,2,0,1,4,1,3,0,0,1,1,0,59940
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,21,21,21,2,8,3,3,0,4,3,1,2,106,88,115,96,90,199,83,92,118,116,94,339,287,321,121,172,227,217,204,209,294,363,388,478,341,279,330,478,375,456,450,506,419,206,456,381,225,181,9787
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,13,0,6,46,1,1,3,0,2,0,8,0,1,0,14,0,1,0,1,51,7,39,2,324,249,195,161,232,258,234,203,202,281,226,263,259,230,195,284,310,266,287,269,339,246,480,299,348,276,224,6880
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,18,5,64,5,7,10,4,9,30,4,4,8,127,111,139,123,121,144,96,104,150,221,141,146,147,133,58,92,98,118,105,77,155,135,3511,4791,3821,2786,3663,4974,3790,4242,4689,5171,4120,220,270,287,273,225,52880
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1,5,34,3,5,8,0,2,21,3,0,0,20,15,13,31,30,53,18,20,32,27,31,97,102,63,44,56,67,69,103,59,88,104,2854,3850,2995,2286,2710,4241,3063,3406,3755,3961,3245,8,63,31,12,3,40448
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,1,100,112,78,98,90,79,76,100,121,66,80,1,0,1,2,1,3,0,1,84,2,0,0,0,0,0,0,0,1,0,4,0,95,9,17,5,12,11,5,13,12,20,13,17,8280,9388,10770,9328,7550,38279
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2,48,53,35,55,40,26,48,64,65,50,37,786,693,768,738,769,755,643,697,955,796,845,728,710,650,227,460,438,520,457,409,550,726,365,486,395,275,381,505,403,476,493,492,447,3291,4117,4614,3907,3289,35125
Bacteria,Spirochaetes,Spirochaetes (class),Spirochaetales,Spirochaetaceae,SA-8,20,20,38,26,34,20,19,19,23,28,23,12,596,546,673,601,621,689,537,554,702,686,669,750,817,717,301,514,576,522,549,572,673,885,636,830,667,558,647,828,632,729,831,974,742,319,337,418,305,265,23162
